Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
157,Verwalterin,"Студентка предъявила администратору заявление, о котором она ничего не знала.",,
34,Kassierer,"Кассир сказал кому-то, что не может принимать кредитные карты для покупок на сумму менее десяти долларов.",,
36,Chef,Консультант позвонил начальнику и попросил разрешения.,,
305,Zeugin,"Адвокат допрашивал свидетельницу до тех пор, пока она не сдалась под давлением.",,
4,Buchhalter,"Фермеру понадобился бухгалтер для составления таблицы урожая, и он попросил его о помощи.",,
211,Mitarbeiterin,Руководитель дал сотруднице обратную связь в связи с ее отличной работой.,,
24,Bäcker,"Сторож беседует с пекарем о пожаре, который он устроил прошлой ночью.",,
116,Krankenpflegerin,"Начальник поблагодарил медсестру за то, что она очень хорошо относится к своим пациентам.",,
217,Gästin,"Шеф-повар извинился перед гостьей, которая осталась недовольна своим ужином.",,
224,Instrukteurin,Преподаватель призвал студента посещать ее занятия по оказанию помощи.,,
40,Reiniger,"Уборщица съедает больше, чем рабочий, потому что работает больше.",,
126,Rezeptionistin,"Смотритель спрашивает дорогу у администратора, потому что она знает это здание гораздо лучше.",,
59,Designer,Сторож убирает комнату дизайнера и спрашивает у него совета.,,
154,Programmiererin,"Программист вызвался учить кого-то программированию, потому что хотел заработать хорошую карму.",,
201,Ernährungsberater,"Диетолог рекомендовал клиенту питаться три раза в день, поскольку именно такой совет он дает всем.",,
242,Sanitäter,"Фельдшер сделал пассажиру массаж сердца, хотя знал, что уже слишком поздно.",,
73,Landwirtin,"Когда на дворе зима, фермер часто посещает библиотекаря, потому что ее работа требует меньше внимания.",,
236,Besitzerin,"Ветеринар сообщил хозяйке, что у ее кошки развился диабет.",,
13,Assistentin,Смотритель смеялся над помощницей и плохо с ней обращался.,,
39,Chefin,Секретарша была нанята начальницей и будет получать от нее оплату.,,
233,Polizist,"Полицейский задержал демонстранта, несмотря на то, что не находился при исполнении служебных обязанностей.",,
290,Student,Студент вручил администратору организованную им петицию.,,
297,Opfers,"Патологоанатом получил образцы тканей жертвы, чтобы определить причину ее смерти.",,
247,Pathologe,Патологоанатом получил образцы тканей жертвы для изучения под микроскопом.,,
76,Wachfrau,"Клерк зарабатывает больше, чем охранник, потому что она ленива и небрежна.",,
45,Angestellten,"Менеджер сказал сотруднице, что она должна была прийти раньше, потому что ленилась.",,
232,Polizistin,"Женщина-полицейский задержала демонстранта, несмотря на то, что она не находилась при исполнении служебных обязанностей.",,
58,Designerin,Смотрительница убрала комнату дизайнера и попросила у нее совета.,,
23,Wirtschaftsprüferin,"Менеджер был обеспокоен визитом аудитора, так как было известно, что она строгая.",,
307,Arbeiter,"Работник Drt сообщил пешеходу, что отремонтирует тротуар в кратчайшие сроки.",,
159,Verwalterin,"Кто-то представил администратору петицию, о которой она не знала.",,
163,Berater,"Консультант встретился с человеком, потому что хотел дать совет, как подать заявление.",,
214,Untersucher,"Следователь осматривал тело человека, чтобы установить причину смерти, но не мог этого сделать, так как был слишком некомпетентен.",,
6,Buchhalter,Смотритель сделал замечание бухгалтеру за ошибку в подаче документов.,,
195,Beraterin,"Консультант сообщает пациентке, что она получила профессиональное задание сообщить о некоторых проблемах.",,
240,Rechtsassistentin,"Помощник юриста забыла оформить документы для клиента, и ее уволили.",,
260,Hausärztin,"Врач общей практики вызвала пациента на дом, потому что чувствовала себя обязанной.",,
189,Kundin,"Техник сообщил клиентке, что она должна своевременно вносить все последующие платежи.",,
35,Kassiererin,"Кассир сказала, что не может принимать кредитные карты для покупок на сумму менее десяти долларов.",,
268,Verkäufer,Покупатель попросил продавца объяснить ему цены на каждый товар.,,
83,Friseur,Адвокат накричал на парикмахера и пригрозил подать на него в суд.,,
38,Chef,Секретарь был нанят начальником и будет получать от него оплату.,,
71,Redakteurin,Милиционер спас редактора от демонстрантов и отвез ее домой.,,
93,Arbeiterin,Секретарь была шокирована поведением сотрудницы и попросила ее прекратить.,,
212,Ingenieur,"Инженер сообщил заказчику, что ему потребуется дополнительное время для завершения проекта.",,
72,Landwirt,"Когда на дворе зима, фермер часто посещает библиотекаря, так как его работа требует меньше внимания.",,
270,Verkäuferin,"Продавщица обратилась к портному, так как хотела отремонтировать костюм.",,
284,Technikerin,"Техник сообщил клиенту, что ремонт завершен.",,
26,Bäcker,"Пекарь накричал на работника по демонтажу, потому что у него сломалась печь.",,
191,Kundin,"Биржевой маклер позвонил клиентке, так как она попросила проконсультировать ее по телефону.",,
204,Arzt,"Доктор сказал кому-то, что на следующей неделе он уйдет в отпуск.",,
150,Schriftsteller,Разработчик выпивает кофе с писателем и обсуждает с ним.,,
37,Chefin,Консультант позвонил начальнице и попросил у нее разрешения.,,
230,Ernährungsberaterin,"Диетолог сказала пациенту, что, по ее мнению, диета и физические упражнения одинаково важны.",,
109,Mechanikerin,Портной увидел механика и объяснил ей цену.,,
