Original Text,Language,Translated Text
"Der Schneider lieferte der Geschäftsführerin einen neuen Anzug und bat sie, ihn zu tragen.",Hebrew,"החייט סיפק למנכ""לית חליפה חדשה וביקש ממנה ללבוש אותה."
Die Landwirtin brauchte den Buchhalter für die Erntetabelle und bat ihn um Hilfe.,Spanish,La agricultora necesitaba al contable para la tabla de cosechas y le pidió ayuda.
Die Landwirtin brauchte den Buchhalter für die Erntetabelle und bat ihn um Hilfe.,Italian,L'agricoltrice aveva bisogno del contabile per la tabella di raccolta e gli chiese aiuto.
Die Landwirtin brauchte den Buchhalter für die Erntetabelle und bat ihn um Hilfe.,French,La fermière avait besoin du comptable pour le tableau des récoltes et lui demanda de l'aide.
Die Landwirtin brauchte den Buchhalter für die Erntetabelle und bat ihn um Hilfe.,Russian,Фермерша нуждалась в бухгалтере для таблицы урожая и попросила его о помощи.
Die Landwirtin brauchte den Buchhalter für die Erntetabelle und bat ihn um Hilfe.,Ukrainian,Агрокомплексниця потребувала бухгалтера для таблиці збору врожаю і попросила його про допомогу.
Die Landwirtin brauchte den Buchhalter für die Erntetabelle und bat ihn um Hilfe.,Arabic,كانت الفلاحة بحاجة إلى المحاسب من أجل جدول الحصاد وطلبت منه المساعدة.
Die Landwirtin brauchte den Buchhalter für die Erntetabelle und bat ihn um Hilfe.,Hebrew,החקלאית הייתה זקוקה לרואה החשבון עבור טבלת הקציר וביקשה ממנו עזרה.
Der Landwirt brauchte die Buchhalterin für die Erntetabelle und bat sie um Hilfe.,Spanish,El agricultor necesitaba a la contadora para la tabla de cosechas y le pidió ayuda.
Der Landwirt brauchte die Buchhalterin für die Erntetabelle und bat sie um Hilfe.,Italian,Il contadino aveva bisogno della contabile per la tabella di raccolta e le chiese aiuto.
Der Landwirt brauchte die Buchhalterin für die Erntetabelle und bat sie um Hilfe.,French,L'agriculteur avait besoin de la comptable pour le tableau de récolte et lui a demandé de l'aide.
Der Landwirt brauchte die Buchhalterin für die Erntetabelle und bat sie um Hilfe.,Russian,"Фермеру нужна была бухгалтер для таблицы урожая, и он попросил её о помощи."
Der Landwirt brauchte die Buchhalterin für die Erntetabelle und bat sie um Hilfe.,Ukrainian,"Фермеру потрібна була бухгалтерка для таблиці збору врожаю, і він попросив її про допомогу."
Der Landwirt brauchte die Buchhalterin für die Erntetabelle und bat sie um Hilfe.,Arabic,احتاج المزارع إلى المحاسبة من أجل جدول الحصاد وطلب مساعدتها.
Der Landwirt brauchte die Buchhalterin für die Erntetabelle und bat sie um Hilfe.,Hebrew,החקלאי היה זקוק לרואת החשבון עבור טבלת הקציר וביקש ממנה עזרה.
"Die Hausmeisterin rügte den Buchhalter, weil er bei der Einreichung von Unterlagen einen Fehler gemacht hatte.",Spanish,La conserje reprendió al contable porque había cometido un error al presentar documentos.
"Die Hausmeisterin rügte den Buchhalter, weil er bei der Einreichung von Unterlagen einen Fehler gemacht hatte.",Italian,La custode rimproverò il contabile perché aveva commesso un errore nella presentazione dei documenti.
"Die Hausmeisterin rügte den Buchhalter, weil er bei der Einreichung von Unterlagen einen Fehler gemacht hatte.",French,La concierge a réprimandé le comptable parce qu'il avait fait une erreur en soumettant des documents.
"Die Hausmeisterin rügte den Buchhalter, weil er bei der Einreichung von Unterlagen einen Fehler gemacht hatte.",Russian,"Дворник упрекнула бухгалтера за то, что он допустил ошибку при подаче документов."
"Die Hausmeisterin rügte den Buchhalter, weil er bei der Einreichung von Unterlagen einen Fehler gemacht hatte.",Ukrainian,"Домогосподарка зробила зауваження бухгалтеру, оскільки він допустив помилку при подачі документів."
"Die Hausmeisterin rügte den Buchhalter, weil er bei der Einreichung von Unterlagen einen Fehler gemacht hatte.",Arabic,انتقدت مديرة المبنى المحاسب لأنه ارتكب خطأً عند تقديم المستندات.
"Die Hausmeisterin rügte den Buchhalter, weil er bei der Einreichung von Unterlagen einen Fehler gemacht hatte.",Hebrew,"העוזרת הבית גערה בחשב, כי הוא עשה טעות בהגשת מסמכים."
"Der Hausmeister rügte die Buchhalterin, weil sie bei der Einreichung von Unterlagen einen Fehler gemacht hatte.",Spanish,El conserje reprendió a la contable porque había cometido un error al presentar documentos.
"Der Hausmeister rügte die Buchhalterin, weil sie bei der Einreichung von Unterlagen einen Fehler gemacht hatte.",Italian,Il custode rimproverò la contabile perché aveva commesso un errore nella presentazione dei documenti.
"Der Hausmeister rügte die Buchhalterin, weil sie bei der Einreichung von Unterlagen einen Fehler gemacht hatte.",French,Le concierge a réprimandé la comptable parce qu'elle avait fait une erreur lors de la soumission des documents.
"Der Hausmeister rügte die Buchhalterin, weil sie bei der Einreichung von Unterlagen einen Fehler gemacht hatte.",Russian,"Дворник упрекнул бухгалтершу за то, что она допустила ошибку при подаче документов."
"Der Hausmeister rügte die Buchhalterin, weil sie bei der Einreichung von Unterlagen einen Fehler gemacht hatte.",Ukrainian,"Дворник зробив зауваження бухгалтерці, оскільки вона допустила помилку під час подання документів."
"Der Hausmeister rügte die Buchhalterin, weil sie bei der Einreichung von Unterlagen einen Fehler gemacht hatte.",Arabic,وجه عامل الصيانة اللوم إلى المحاسبة لأنها ارتكبت خطأً عند تقديم المستندات.
"Der Hausmeister rügte die Buchhalterin, weil sie bei der Einreichung von Unterlagen einen Fehler gemacht hatte.",Hebrew,הסדרן גער בבוחנת החשבונות כי היא עשתה טעות בהגשת מסמכים.
"Die Analystin wurde von dem Krankenpfleger betreut, ihre Allergien erwähnte sie jedoch nicht.",Spanish,"La analista fue atendida por el enfermero, pero no mencionó sus alergias."
"Die Analystin wurde von dem Krankenpfleger betreut, ihre Allergien erwähnte sie jedoch nicht.",Italian,"L'analista è stata seguita dall'infermiere, ma non ha menzionato le sue allergie."
"Die Analystin wurde von dem Krankenpfleger betreut, ihre Allergien erwähnte sie jedoch nicht.",French,"L'analyste a été prise en charge par l'infirmier, mais elle n'a pas mentionné ses allergies."
"Die Analystin wurde von dem Krankenpfleger betreut, ihre Allergien erwähnte sie jedoch nicht.",Russian,"Аналитик был под наблюдением медсестры, однако свои аллергии она не упомянула."
"Die Analystin wurde von dem Krankenpfleger betreut, ihre Allergien erwähnte sie jedoch nicht.",Ukrainian,"Аналітикиня була під наглядом медсестри, але свої алергії вона не згадала."
"Die Analystin wurde von dem Krankenpfleger betreut, ihre Allergien erwähnte sie jedoch nicht.",Arabic,تمت رعاية المحللة من قبل الممرض، لكنها لم تذكر Allergien.
"Die Analystin wurde von dem Krankenpfleger betreut, ihre Allergien erwähnte sie jedoch nicht.",Hebrew,"האנליסטית טופלה על ידי האחות, אך היא לא הזכירה את האלרגיות שלה."
"Der Analyst wurde von der Krankenpflegerin betreut, seine Allergien erwähnte er jedoch nicht.",Spanish,"El analista fue atendido por la enfermera, pero no mencionó sus alergias."
"Der Analyst wurde von der Krankenpflegerin betreut, seine Allergien erwähnte er jedoch nicht.",Italian,"L'analista è stato assistito dall'infermiera, ma non ha menzionato le sue allergie."
"Der Analyst wurde von der Krankenpflegerin betreut, seine Allergien erwähnte er jedoch nicht.",French,"L'analyste a été pris en charge par l'infirmière, mais il n'a pas mentionné ses allergies."
"Der Analyst wurde von der Krankenpflegerin betreut, seine Allergien erwähnte er jedoch nicht.",Russian,"Аналитика обслуживала медсестра, однако он не упомянул о своих аллергиях."
"Der Analyst wurde von der Krankenpflegerin betreut, seine Allergien erwähnte er jedoch nicht.",Ukrainian,"Аналітик перебував під наглядом медсестри, проте свої алергії він не згадував."
"Der Analyst wurde von der Krankenpflegerin betreut, seine Allergien erwähnte er jedoch nicht.",Arabic,تمت رعاية المحلل من قبل المربية، لكنه لم يذكر Allergien الخاصة به.
"Der Analyst wurde von der Krankenpflegerin betreut, seine Allergien erwähnte er jedoch nicht.",Hebrew,"האנליסט טופל על ידי האחות, אך הוא לא הזכיר את האלרגיות שלו."
"Die Bäckerin hatte Angst vor dem Bericht des Analysten und hatte Angst, mit ihm zu reden.",Spanish,La panadera tenía miedo del informe del analista y temía hablar con él.
"Die Bäckerin hatte Angst vor dem Bericht des Analysten und hatte Angst, mit ihm zu reden.",Italian,La panettiera aveva paura del rapporto dell'analista e temeva di parlare con lui.
"Die Bäckerin hatte Angst vor dem Bericht des Analysten und hatte Angst, mit ihm zu reden.",French,La boulangère avait peur du rapport de l'analyste et avait peur de lui parler.
"Die Bäckerin hatte Angst vor dem Bericht des Analysten und hatte Angst, mit ihm zu reden.",Russian,Пекарь боялся отчета аналитика и боялся с ним говорить.
"Die Bäckerin hatte Angst vor dem Bericht des Analysten und hatte Angst, mit ihm zu reden.",Ukrainian,Пекарка боялася звіту аналітика і боялася з ним говорити.
"Die Bäckerin hatte Angst vor dem Bericht des Analysten und hatte Angst, mit ihm zu reden.",Arabic,كانت الخبازة خائفة من تقرير المحلل وكانت خائفة من التحدث معه.
"Die Bäckerin hatte Angst vor dem Bericht des Analysten und hatte Angst, mit ihm zu reden.",Hebrew,האפייה פחדה מהדיווח של האנליסט ופחדה לדבר איתו.
"Der Bäcker hatte Angst vor dem Bericht der Analystin und hatte Angst, mit ihr zu reden.",Spanish,El panadero tenía miedo del informe de la analista y tenía miedo de hablar con ella.
"Der Bäcker hatte Angst vor dem Bericht der Analystin und hatte Angst, mit ihr zu reden.",Italian,Il panettiere aveva paura del rapporto dell'analista e temeva di parlarle.
"Der Bäcker hatte Angst vor dem Bericht der Analystin und hatte Angst, mit ihr zu reden.",French,Le boulanger avait peur du rapport de l'analyste et avait peur de lui parler.
"Der Bäcker hatte Angst vor dem Bericht der Analystin und hatte Angst, mit ihr zu reden.",Russian,Пекарь боялся отчета аналитика и боялся говорить с ней.
"Der Bäcker hatte Angst vor dem Bericht der Analystin und hatte Angst, mit ihr zu reden.",Ukrainian,Пекар боявся звіту аналітикині і боявся говорити з нею.
"Der Bäcker hatte Angst vor dem Bericht der Analystin und hatte Angst, mit ihr zu reden.",Arabic,كان الخباز خائفًا من تقرير المحللة وكان خائفًا من التحدث معها.
"Der Bäcker hatte Angst vor dem Bericht der Analystin und hatte Angst, mit ihr zu reden.",Hebrew,האפייה פחדה מהדיווח של האנליסטית ופחדה לדבר איתה.
Die Hausmeisterin lachte den Assistenten aus und behandelte ihn schlecht.,Spanish,La conserje se rió del asistente y lo trató mal.
Die Hausmeisterin lachte den Assistenten aus und behandelte ihn schlecht.,Italian,La custode derise l'assistente e lo trattò male.
Die Hausmeisterin lachte den Assistenten aus und behandelte ihn schlecht.,French,La concierge se moquait de l'assistant et le traitait mal.
Die Hausmeisterin lachte den Assistenten aus und behandelte ihn schlecht.,Russian,Дворник насмехался над ассистентом и плохо с ним обращался.
Die Hausmeisterin lachte den Assistenten aus und behandelte ihn schlecht.,Ukrainian,Домогосподарка сміялася з асистента і погано з ним поводилася.
Die Hausmeisterin lachte den Assistenten aus und behandelte ihn schlecht.,Arabic,ضحكت المدبرة المنزلية على المساعد وعاملته بشكل سيء.
Die Hausmeisterin lachte den Assistenten aus und behandelte ihn schlecht.,Hebrew,העוזרת צחקה על העוזר והתנהגה אליו רע.
Der Hausmeister lachte die Assistentin aus und behandelte sie schlecht.,Spanish,El conserje se rió de la asistente y la trató mal.
Der Hausmeister lachte die Assistentin aus und behandelte sie schlecht.,Italian,Il custode derise l'assistente e la trattò male.
Der Hausmeister lachte die Assistentin aus und behandelte sie schlecht.,French,Le concierge se moquait de l'assistante et la traitait mal.
Der Hausmeister lachte die Assistentin aus und behandelte sie schlecht.,Russian,Дворник высмеивал ассистентку и плохо с ней обращался.
Der Hausmeister lachte die Assistentin aus und behandelte sie schlecht.,Ukrainian,Дворник сміявся з асистентки та погано з нею поводився.
Der Hausmeister lachte die Assistentin aus und behandelte sie schlecht.,Arabic,ضحك العامل في الصيانة على المساعدة وعاملها بشكل سيء.
Der Hausmeister lachte die Assistentin aus und behandelte sie schlecht.,Hebrew,הסדרן צחק על העוזרת והתייחס אליה רע.
"Die Schreinerin brachte dem Assistenten das Handwerk bei und ließ nicht zu, dass er sich ablenken ließ.",Spanish,La carpintera enseñó el oficio al asistente y no permitió que se distrajera.
"Die Schreinerin brachte dem Assistenten das Handwerk bei und ließ nicht zu, dass er sich ablenken ließ.",Italian,La falegname insegnò il mestiere all'assistente e non permise che si lasciasse distrarre.
"Die Schreinerin brachte dem Assistenten das Handwerk bei und ließ nicht zu, dass er sich ablenken ließ.",French,La menuisière a appris le métier à l'assistant et n'a pas permis qu'il se laisse distraire.
"Die Schreinerin brachte dem Assistenten das Handwerk bei und ließ nicht zu, dass er sich ablenken ließ.",Russian,Плотница обучила ассистента ремеслу и не позволила ему отвлекаться.
"Die Schreinerin brachte dem Assistenten das Handwerk bei und ließ nicht zu, dass er sich ablenken ließ.",Ukrainian,Теслярка навчила асистента ремеслу і не дозволила йому відволікатися.
"Die Schreinerin brachte dem Assistenten das Handwerk bei und ließ nicht zu, dass er sich ablenken ließ.",Arabic,أعطت النّجارَة المساعدَ الحرفةَ ولم تسمح له بالتشتت.
"Die Schreinerin brachte dem Assistenten das Handwerk bei und ließ nicht zu, dass er sich ablenken ließ.",Hebrew,הנגרית לימדה את העוזר את המלאכה ולא נתנה לו להתפרע.
"Der Schreiner brachte der Assistentin das Handwerk bei und ließ nicht zu, dass sie sich ablenken ließ.",Spanish,El carpintero enseñó el oficio a la asistente y no permitió que se distrajera.
"Der Schreiner brachte der Assistentin das Handwerk bei und ließ nicht zu, dass sie sich ablenken ließ.",Italian,Il falegname insegnò il mestiere all'assistente e non le permise di distrarsi.
"Der Schreiner brachte der Assistentin das Handwerk bei und ließ nicht zu, dass sie sich ablenken ließ.",French,Le menuisier a appris le métier à l'assistante et n'a pas permis qu'elle se laisse distraire.
"Der Schreiner brachte der Assistentin das Handwerk bei und ließ nicht zu, dass sie sich ablenken ließ.",Russian,Плотник научил ассистентку ремеслу и не позволил ей отвлекаться.
"Der Schreiner brachte der Assistentin das Handwerk bei und ließ nicht zu, dass sie sich ablenken ließ.",Ukrainian,Тесля навчив асистентку ремеслу і не дозволив їй відволікатися.
"Der Schreiner brachte der Assistentin das Handwerk bei und ließ nicht zu, dass sie sich ablenken ließ.",Arabic,علم النجار المساعدة الحرفة ولم يسمح لها بالتشتت.
"Der Schreiner brachte der Assistentin das Handwerk bei und ließ nicht zu, dass sie sich ablenken ließ.",Hebrew,הנגר לימד את העוזרת את המלאכה ולא נתן לה להתפרע.
"Als der Umzugshelfer ankam, lieh der Aufseher seinen riesigen Lastwagen.",Spanish,"Cuando llegó el ayudante de mudanza, el supervisor prestó su enorme camión."
"Als der Umzugshelfer ankam, lieh der Aufseher seinen riesigen Lastwagen.",Italian,"Quando l'aiutante del trasloco arrivò, il sorvegliante prestò il suo enorme camion."
"Als der Umzugshelfer ankam, lieh der Aufseher seinen riesigen Lastwagen.",French,"Lorsque le déménageur est arrivé, le superviseur a prêté son énorme camion."
"Als der Umzugshelfer ankam, lieh der Aufseher seinen riesigen Lastwagen.",Russian,Когда搬家助手到达时，监工借了他那辆巨大的卡车。
"Als der Umzugshelfer ankam, lieh der Aufseher seinen riesigen Lastwagen.",Ukrainian,"Коли прибув помічник з переїзду, наглядач позичив свій величезний вантажівка."
"Als der Umzugshelfer ankam, lieh der Aufseher seinen riesigen Lastwagen.",Arabic,عندما وصل مساعد النقل، استعار المشرف شاحنته الضخمة.
"Als der Umzugshelfer ankam, lieh der Aufseher seinen riesigen Lastwagen.",Hebrew,"כשעוזר המעבר הגיע, השגיח השומר על המשאית הענקית שלו."
"Als die Umzugshelferin ankam, lieh die Aufseherin ihren riesigen Lastwagen.",Spanish,"Cuando llegó la ayudante de mudanza, la supervisora le prestó su enorme camión."
"Als die Umzugshelferin ankam, lieh die Aufseherin ihren riesigen Lastwagen.",Italian,"Quando l'aiutante del trasloco arrivò, la sorvegliante prestò il suo enorme camion."
"Als die Umzugshelferin ankam, lieh die Aufseherin ihren riesigen Lastwagen.",French,"Lorsque l'aide au déménagement est arrivée, la superviseuse a prêté son énorme camion."
"Als die Umzugshelferin ankam, lieh die Aufseherin ihren riesigen Lastwagen.",Russian,"Когда помощница по переезду приехала, надзирательница одолжила свой огромный грузовик."
"Als die Umzugshelferin ankam, lieh die Aufseherin ihren riesigen Lastwagen.",Ukrainian,"Коли прибрала помічниця, наглядачка позичила свій величезний вантажівка."
"Als die Umzugshelferin ankam, lieh die Aufseherin ihren riesigen Lastwagen.",Arabic,عندما وصلت مساعدة النقل، استعارت المشرفة شاحنتها الضخمة.
"Als die Umzugshelferin ankam, lieh die Aufseherin ihren riesigen Lastwagen.",Hebrew,"כשעוזרת המעבר הגיעה, השגיחה השאילה את המשאית הענקית שלה."
Die Arbeiterin beneidete den Job des Aufsehers und sagte es ihm.,Spanish,La trabajadora envidiaba el trabajo del supervisor y se lo dijo.
Die Arbeiterin beneidete den Job des Aufsehers und sagte es ihm.,Italian,La lavoratrice invidiava il lavoro del sorvegliante e glielo disse.
Die Arbeiterin beneidete den Job des Aufsehers und sagte es ihm.,French,La travailleuse enviait le poste de surveillant et le lui a dit.
Die Arbeiterin beneidete den Job des Aufsehers und sagte es ihm.,Russian,Рабочая завидовала работе надсмотрщика и сказала ему об этом.
Die Arbeiterin beneidete den Job des Aufsehers und sagte es ihm.,Ukrainian,Робітниця позаздрила роботі наглядача і сказала йому про це.
Die Arbeiterin beneidete den Job des Aufsehers und sagte es ihm.,Arabic,كانت العاملة تغار من وظيفة المشرف وأخبرته بذلك.
Die Arbeiterin beneidete den Job des Aufsehers und sagte es ihm.,Hebrew,העובדת קינאה בעבודתו של השומר ואמרה לו את זה.
Der Arbeiter beneidete den Job der Aufseherin und sagte es ihr.,Spanish,El trabajador envidiaba el trabajo de la supervisora y se lo dijo.
Der Arbeiter beneidete den Job der Aufseherin und sagte es ihr.,Italian,Il lavoratore invidiava il lavoro della sorvegliante e glielo disse.
Der Arbeiter beneidete den Job der Aufseherin und sagte es ihr.,French,L'ouvrier enviait le poste de surveillante et le lui a dit.
Der Arbeiter beneidete den Job der Aufseherin und sagte es ihr.,Russian,Рабочий завидовал работе надзирательницы и сказал ей об этом.
Der Arbeiter beneidete den Job der Aufseherin und sagte es ihr.,Ukrainian,Робітник заздрив роботі наглядачки і сказав їй про це.
Der Arbeiter beneidete den Job der Aufseherin und sagte es ihr.,Arabic,كان العامل يحسد وظيفة المشرفة وأخبرها بذلك.
Der Arbeiter beneidete den Job der Aufseherin und sagte es ihr.,Hebrew,העובד קינא בעבודת המפקחת ואמר לה את זה.
"Die Bäuerin verlangte, dass der Wirtschaftsprüfer die Farm verließ, weil er das Haus betreten hatte.",Spanish,La campesina exigió que el auditor abandonara la granja porque había entrado en la casa.
"Die Bäuerin verlangte, dass der Wirtschaftsprüfer die Farm verließ, weil er das Haus betreten hatte.",Italian,"La contadina chiese che il revisore dei conti lasciasse la fattoria, perché era entrato in casa."
"Die Bäuerin verlangte, dass der Wirtschaftsprüfer die Farm verließ, weil er das Haus betreten hatte.",French,La fermière a exigé que l'auditeur quitte la ferme parce qu'il était entré dans la maison.
"Die Bäuerin verlangte, dass der Wirtschaftsprüfer die Farm verließ, weil er das Haus betreten hatte.",Russian,"Фермерша потребовала, чтобы аудитор покинул ферму, потому что он вошел в дом."
"Die Bäuerin verlangte, dass der Wirtschaftsprüfer die Farm verließ, weil er das Haus betreten hatte.",Ukrainian,"Селянка вимагала, щоб аудитор покинув ферму, оскільки він увійшов до будинку."
"Die Bäuerin verlangte, dass der Wirtschaftsprüfer die Farm verließ, weil er das Haus betreten hatte.",Arabic,طالبت الفلاحة المدقق المالي بمغادرة المزرعة لأنه دخل المنزل.
"Die Bäuerin verlangte, dass der Wirtschaftsprüfer die Farm verließ, weil er das Haus betreten hatte.",Hebrew,"החקלאית דרשה שהרו""ח יעזוב את החווה כי הוא נכנס לבית."
"Der Bauer verlangte, dass die Wirtschaftsprüferin die Farm verließ, weil sie das Haus betreten hatte.",Spanish,El agricultor exigió que la auditora abandonara la granja porque había entrado en la casa.
"Der Bauer verlangte, dass die Wirtschaftsprüferin die Farm verließ, weil sie das Haus betreten hatte.",Italian,"Il contadino chiese che la revisore dei conti lasciasse la fattoria, perché era entrata in casa."
"Der Bauer verlangte, dass die Wirtschaftsprüferin die Farm verließ, weil sie das Haus betreten hatte.",French,Le fermier a exigé que l'auditrice quitte la ferme parce qu'elle était entrée dans la maison.
"Der Bauer verlangte, dass die Wirtschaftsprüferin die Farm verließ, weil sie das Haus betreten hatte.",Russian,"Фермер потребовал, чтобы аудитор покинул ферму, потому что она вошла в дом."
"Der Bauer verlangte, dass die Wirtschaftsprüferin die Farm verließ, weil sie das Haus betreten hatte.",Ukrainian,"Фермер вимагав, щоб аудиторка покинула ферму, оскільки вона зайшла в будинок."
"Der Bauer verlangte, dass die Wirtschaftsprüferin die Farm verließ, weil sie das Haus betreten hatte.",Arabic,طالب الفلاح بأن تغادر المدققة المالية المزرعة لأنها دخلت المنزل.
"Der Bauer verlangte, dass die Wirtschaftsprüferin die Farm verließ, weil sie das Haus betreten hatte.",Hebrew,"החקלאי דרש שהרו""ח תעזוב את החווה כי היא נכנסה לבית."
"Die Geschäftsführerin war besorgt über einen Besuch des Wirtschaftsprüfer, da bekannt war, dass er streng ist.",Spanish,"La directora general estaba preocupada por la visita del auditor, ya que se sabía que era estricto."
"Die Geschäftsführerin war besorgt über einen Besuch des Wirtschaftsprüfer, da bekannt war, dass er streng ist.",Italian,"La direttrice era preoccupata per la visita del revisore dei conti, poiché era noto che fosse severo."
"Die Geschäftsführerin war besorgt über einen Besuch des Wirtschaftsprüfer, da bekannt war, dass er streng ist.",French,"La directrice générale était préoccupée par la visite de l'auditeur, car il était connu pour être strict."
"Die Geschäftsführerin war besorgt über einen Besuch des Wirtschaftsprüfer, da bekannt war, dass er streng ist.",Russian,"Директор был обеспокоен визитом аудитора, так как было известно, что он строгий."
"Die Geschäftsführerin war besorgt über einen Besuch des Wirtschaftsprüfer, da bekannt war, dass er streng ist.",Ukrainian,"Директорка була стурбована візитом аудитора, оскільки було відомо, що він суворий."
"Die Geschäftsführerin war besorgt über einen Besuch des Wirtschaftsprüfer, da bekannt war, dass er streng ist.",Arabic,كانت المديرة التنفيذية قلقة بشأن زيارة المدقق المالي، حيث كان معروفًا أنه صارم.
"Die Geschäftsführerin war besorgt über einen Besuch des Wirtschaftsprüfer, da bekannt war, dass er streng ist.",Hebrew,"המנכ""לית הייתה מודאגת מביקורו של רואה החשבון, שכן היה ידוע שהוא מחמיר."
"Der Geschäftsführer war besorgst über einen Besuch der Wirtschaftsprüferin, da bekannt war, dass sie streng ist.",Spanish,"El director general estaba preocupado por la visita de la auditora, ya que se sabía que era estricta."
"Der Geschäftsführer war besorgst über einen Besuch der Wirtschaftsprüferin, da bekannt war, dass sie streng ist.",Italian,"Il direttore era preoccupato per una visita della revisore dei conti, poiché era noto che fosse severa."
"Der Geschäftsführer war besorgst über einen Besuch der Wirtschaftsprüferin, da bekannt war, dass sie streng ist.",French,"Le directeur général était inquiet à propos de la visite de l'auditrice, car il était connu qu'elle était stricte."
"Der Geschäftsführer war besorgst über einen Besuch der Wirtschaftsprüferin, da bekannt war, dass sie streng ist.",Russian,"Директор был обеспокоен визитом аудитора, так как было известно, что она строгая."
